1Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-07-11,Wild Tales,2014,https://boxd.it/iscrL,4,,,2017-07-07
2017-07-16,Train to Busan,2016,https://boxd.it/iz1PB,4,,,2017-07-15
2017-07-25,Spider-Man: Homecoming,2017,https://boxd.it/iMPrF,3.5,,,2017-07-22
2017-07-29,Dunkirk,2017,https://boxd.it/iTrlH,4,,,2017-07-27
2017-08-30,The Girl with the Dragon Tattoo,2011,https://boxd.it/jG3dd,3,,,2017-08-04
2017-08-08,War for the Planet of the Apes,2017,https://boxd.it/jbctd,3,,,2017-08-05
2017-08-14,The Incredibles,2004,https://boxd.it/jj5oL,5,,,2017-08-12
2017-08-14,Porta dos Fundos: Contrato Vitalício,2016,https://boxd.it/jiDXt,0.5,,,2017-08-13
2017-08-14,Naked,2017,https://boxd.it/jj5m1,2.5,,,2017-08-13
2017-08-14,Fort Bliss,2014,https://boxd.it/jjE9B,2.5,,,2017-08-13
2017-09-08,Wall Street,1987,https://boxd.it/jV6db,3,,,2017-09-07
2017-09-08,The Founder,2016,https://boxd.it/jV6et,3.5,,,2017-09-07
2017-09-10,It,2017,https://boxd.it/jY7hJ,4.5,,,2017-09-09
2017-09-16,It,2017,https://boxd.it/k7blj,4.5,Yes,,2017-09-14
2017-09-16,The Skin I Live In,2011,https://boxd.it/k7a9L,5,,,2017-09-15
2017-09-24,Gaga: Five Foot Two,2017,https://boxd.it/kj4of,3.5,,,2017-09-22
2017-09-24,A Beautiful Mind,2001,https://boxd.it/kj4px,3.5,,,2017-09-22
2017-10-23,Blade Runner 2049,2017,https://boxd.it/l3XZR,4,,,2017-10-13
2017-10-23,Bye Bye Germany,2017,https://boxd.it/l3Y1j,3.5,,,2017-10-23
2017-10-25,Poor Cinderella,1934,https://boxd.it/l63qd,3.5,,,2017-10-24
2017-10-28,Ó Paí Ó: Look at This,2007,https://boxd.it/laSTN,4,Yes,,2017-10-26
2017-10-28,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/laSUB,5,Yes,,2017-10-27
2017-11-10,The Secret in Their Eyes,2009,https://boxd.it/lvyEv,4.5,,,2017-11-10
2017-11-18,City of God,2002,https://boxd.it/lI4o9,4.5,Yes,,2017-11-17
2017-11-21,The Mask You Live In,2015,https://boxd.it/lNEyp,4,,,2017-11-20
2017-11-23,Justice League,2017,https://boxd.it/lQpOD,2.5,,,2017-11-23
2017-12-11,Babel,2006,https://boxd.it/mmePT,4.5,,,2017-12-10
2017-12-19,Murder on the Orient Express,2017,https://boxd.it/mBg7p,2.5,,,2017-12-18
2018-01-10,Loving Vincent,2017,https://boxd.it/nsXZ1,4,,,2017-12-20
2018-01-22,The Tourist,2010,https://boxd.it/nWcRf,3,,,2018-01-21
2018-01-24,The Fault in Our Stars,2014,https://boxd.it/nZRBD,3.5,Yes,,2018-01-22
2018-01-28,The Post,2017,https://boxd.it/o99mT,3.5,,,2018-01-27
2018-02-03,The Shape of Water,2017,https://boxd.it/omgYh,4.5,,,2018-02-02
2018-02-05,Whiplash,2014,https://boxd.it/orpbD,4,Yes,,2018-02-03
2018-02-05,Blended,2014,https://boxd.it/orpeH,3.5,,,2018-02-04
2018-02-05,The Big Short,2015,https://boxd.it/orpmr,4,Yes,,2018-02-05
2018-02-20,The Three Musketeers,2011,https://boxd.it/oYCMj,2,,,2018-02-18
2018-02-20,Shutter Island,2010,https://boxd.it/oYCwl,4.5,Yes,,2018-02-19
2018-02-20,Lady Bird,2017,https://boxd.it/oYCAx,3.5,,,2018-02-19
2018-03-07,The Danish Girl,2015,https://boxd.it/pwJaz,3.5,Yes,,2018-03-04
2018-03-20,Sixteen Candles,1984,https://boxd.it/q3761,3,,,2018-03-19
2018-04-29,Walking on Sunshine,2014,https://boxd.it/rtSlj,3,,,2018-04-28
2018-05-06,Black Panther,2018,https://boxd.it/rLcA3,4,,,2018-05-04
2018-05-06,Avengers: Infinity War,2018,https://boxd.it/rLcE5,4.5,,,2018-05-04
2018-05-07,Iron Man,2008,https://boxd.it/rNvnL,4,Yes,,2018-05-06
2018-05-07,Iron Man 2,2010,https://boxd.it/rNvoT,3.5,Yes,,2018-05-06
2018-05-20,The Incredibles,2004,https://boxd.it/sckiv,5,Yes,,2018-05-06
2018-05-20,Dead Poets Society,1989,https://boxd.it/sckfL,4.5,Yes,,2018-05-20
2018-05-28,Elysium,2013,https://boxd.it/su1Hn,2.5,Yes,,2018-05-27
2018-05-28,Hitchcock,2012,https://boxd.it/su1Jt,3,,,2018-05-28
2018-06-16,Identity Thief,2013,https://boxd.it/t8glV,3,,,2018-06-16
2018-06-16,Mamma Mia!,2008,https://boxd.it/t8goF,3.5,Yes,,2018-06-16
2018-06-24,La luna,2011,https://boxd.it/toAYP,4,,,2018-06-23
2018-06-24,Johnny Express,2014,https://boxd.it/toBGR,5,,,2018-06-23
2018-06-24,Geri's Game,1997,https://boxd.it/toCxV,5,,,2018-06-23
2018-06-30,The Wolf of Wall Street,2013,https://boxd.it/tBOod,4.5,,,2018-06-30
2018-07-08,Split,2016,https://boxd.it/tSMU1,,,,2018-07-08
2018-07-18,Jurassic World: Fallen Kingdom,2018,https://boxd.it/ufPBx,2.5,,,2018-07-18
2018-07-19,The Man Who Knew Infinity,2015,https://boxd.it/uiDSn,3.5,Yes,,2018-07-19
2018-07-26,Incredibles 2,2018,https://boxd.it/uyRVx,4.5,,,2018-07-23
2018-07-26,Skyscraper,2018,https://boxd.it/uyRYr,3.5,,,2018-07-24
2018-07-31,Scent of a Woman,1992,https://boxd.it/uJCEX,4,,,2018-07-29
2018-08-05,Lilo & Stitch,2002,https://boxd.it/uX6XL,3.5,Yes,,2018-08-04
2018-08-05,"What Happened, Miss Simone?",2015,https://boxd.it/uX71D,5,Yes,,2018-08-04
2018-08-05,Mamma Mia! Here We Go Again,2018,https://boxd.it/uX73p,,,,2018-08-04
2018-08-19,Chinese Take-Away,2011,https://boxd.it/vtuqZ,4,,,2018-08-18
2018-09-05,Mamma Mia! Here We Go Again,2018,https://boxd.it/wb59n,3,Yes,,2018-09-04
2018-09-06,The Mountain Between Us,2017,https://boxd.it/wcTz3,3,,,2018-09-06
2018-09-17,Freaky Friday,2003,https://boxd.it/wA32p,3.5,Yes,,2018-09-14
2018-09-17,The Proposal,2009,https://boxd.it/wA38d,4,Yes,,2018-09-15
2018-09-17,Coraline,2009,https://boxd.it/wA3pX,4.5,Yes,,2018-09-15
2018-09-23,The Rescuers,1977,https://boxd.it/wNrhf,2.5,Yes,,2018-09-22
2018-09-23,The Proposal,2009,https://boxd.it/wNrin,4,Yes,,2018-09-22
2018-10-05,Mean Girls,2004,https://boxd.it/xeyfJ,3.5,Yes,,2018-10-03
2018-10-21,Papillon,2017,https://boxd.it/xQKpx,3,,,2018-10-15
2018-10-21,The Proposal,2009,https://boxd.it/xS2aH,4,Yes,,2018-10-18
2018-10-21,Call Me by Your Name,2017,https://boxd.it/xS2gZ,3.5,,,2018-10-20
2018-11-12,The Untouchables,1987,https://boxd.it/yHsGV,,,,2018-11-11
2018-11-12,Thor: Ragnarok,2017,https://boxd.it/yHPF7,,,,2018-11-11
2018-12-03,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/zy3qJ,2.5,,,2018-12-02
2018-12-09,The Emperor's New Groove,2000,https://boxd.it/zMJ8F,4.5,,,2018-12-08
2018-12-12,Hush,2016,https://boxd.it/zWeSR,3,,,2018-12-11
2018-12-14,The Terminal,2004,https://boxd.it/A1jdz,4.5,,,2018-12-14
2018-12-16,Bohemian Rhapsody,2018,https://boxd.it/A6xv3,5,,,2018-12-16
2019-01-10,Aquaman,2018,https://boxd.it/BFGll,,,,2019-01-08
2019-01-10,A Star Is Born,2018,https://boxd.it/BFGrt,3.5,,,2019-01-09
2019-01-10,Bird Box,2018,https://boxd.it/BFGud,3,,,2019-01-09
2019-01-12,"What Happened, Miss Simone?",2015,https://boxd.it/BNaAJ,5,Yes,,2019-01-11
2019-01-13,Momentum,2015,https://boxd.it/BRZQ7,2.5,,,2019-01-12
2019-01-14,Interstellar,2014,https://boxd.it/BXuf7,4.5,Yes,,2019-01-13
2019-01-15,It's Complicated,2009,https://boxd.it/C15gx,3.5,,,2019-01-14
2019-01-22,Catwalk: Tales from the Catshow Circuit,2018,https://boxd.it/CpbFh,2.5,,,2019-01-21
2019-01-23,The Parent Trap,1998,https://boxd.it/CuKMx,4,Yes,,2019-01-22
2019-01-23,The Shawshank Redemption,1994,https://boxd.it/CuKPB,5,Yes,,2019-01-22
2019-01-26,The Favourite,2018,https://boxd.it/CEADl,4,,,2019-01-25
