Date,Name,Year,Letterboxd URI,Rating
2020-03-23,Central Station,1998,https://boxd.it/29RG,4.5
2020-03-23,Aladdin,2019,https://boxd.it/eSjy,3
2020-03-24,Coco,2017,https://boxd.it/bYJQ,5
2020-03-25,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2020-03-27,The Fast and the Furious,2001,https://boxd.it/1XMu,3.5
2020-03-28,Sister Act,1992,https://boxd.it/27EA,3
2020-03-28,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3.5
2020-03-30,The Second Mother,2015,https://boxd.it/9Ydm,4
2020-03-31,The Accountant,2016,https://boxd.it/9EhI,3
2020-04-05,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4.5
2020-04-08,The 40 Year Old Virgin,2005,https://boxd.it/21hK,3.5
2020-04-08,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/26mg,3.5
2020-04-10,Men in Black 3,2012,https://boxd.it/103U,3.5
2020-04-18,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,4
2020-04-18,Knowing,2009,https://boxd.it/1Pmy,2
2020-04-20,Hotel Transylvania 2,2015,https://boxd.it/4ZLk,3
2020-04-20,Deep Blue Sea 2,2018,https://boxd.it/hJT4,2
2020-04-20,Matilda,1996,https://boxd.it/1VhY,2.5
2020-04-21,The Walk,2015,https://boxd.it/8Rao,3.5
2020-04-24,The Darkest Minds,2018,https://boxd.it/fRBo,2
2020-05-01,National Treasure,2004,https://boxd.it/27x0,3
2020-05-01,Chernobyl,2019,https://boxd.it/mkbG,4.5
2020-05-01,mother!,2017,https://boxd.it/dgRU,3.5
2020-05-01,The Lighthouse,2019,https://boxd.it/icFU,4
2020-05-02,Escape Room,2019,https://boxd.it/iYlS,2.5
2020-05-02,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4
2020-05-04,Isle of Dogs,2018,https://boxd.it/dZrW,4.5
2020-05-04,Downsizing,2017,https://boxd.it/9Ajq,1.5
2020-05-04,Hidden Figures,2016,https://boxd.it/dgS4,4
2020-05-04,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,2
2020-05-04,Twilight,2008,https://boxd.it/1Zui,1.5
2020-05-05,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/DdC,3
2020-05-09,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2020-05-09,The Count of Monte Cristo,2002,https://boxd.it/1U24,4
2020-05-09,Yesterday,2019,https://boxd.it/iF7M,2
2020-05-15,The Circle,2017,https://boxd.it/bj1I,2
2020-05-22,Do the Right Thing,1989,https://boxd.it/29gA,4
2020-05-24,Lost in Translation,2003,https://boxd.it/2b0E,3.5
2020-05-24,Miss Congeniality,2000,https://boxd.it/28GM,3
2020-05-25,Divergent,2014,https://boxd.it/4VT0,3
2020-05-25,Legally Blonde,2001,https://boxd.it/1ZNa,3.5
2020-05-25,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4
2020-05-25,Red Sparrow,2018,https://boxd.it/e7Pi,3.5
2020-05-27,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2020-05-29,In the Heat of the Night,1967,https://boxd.it/1VLY,4.5
2020-05-29,It's a Wonderful Life,1946,https://boxd.it/28xA,4
2020-06-01,Sunset Boulevard,1950,https://boxd.it/2a20,5
2020-06-04,Blow-Up,1966,https://boxd.it/2966,2.5
2020-06-07,Cast Away,2000,https://boxd.it/20i8,3.5
2020-06-08,Contagion,2011,https://boxd.it/13rq,3.5
2020-06-08,Kidnap,2017,https://boxd.it/9g38,2.5
2020-06-08,Taken,2008,https://boxd.it/1ZXa,3
2020-06-10,While You Were Sleeping,1995,https://boxd.it/27wm,3.5
2020-06-13,Aquarius,2016,https://boxd.it/d6YQ,4.5
2020-06-13,Speed,1994,https://boxd.it/28qk,3.5
2020-06-14,The Illusionist,2006,https://boxd.it/28H6,3
2020-06-14,2012,2009,https://boxd.it/1OE2,3
2020-06-14,Psycho,1960,https://boxd.it/2ab2,4.5
2020-06-15,Ford v Ferrari,2019,https://boxd.it/ce74,4
2020-06-16,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,3
2020-06-23,Molly's Game,2017,https://boxd.it/dSl8,3.5
2020-06-23,The Holiday,2006,https://boxd.it/28ye,4
2020-06-27,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2020-06-27,Click,2006,https://boxd.it/1YVM,3
2020-07-06,The Devil's Advocate,1997,https://boxd.it/286k,2.5
2020-07-16,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0,3.5
2020-07-22,The Mexican,2001,https://boxd.it/226y,3
2020-07-23,Silver Linings Playbook,2012,https://boxd.it/2TTo,4
2020-07-29,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2020-07-30,Die Hard,1988,https://boxd.it/2a7u,4
2020-08-02,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2020-08-04,Secret Obsession,2019,https://boxd.it/mCpG,2
2020-08-09,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2020-08-10,Top Gun,1986,https://boxd.it/29JC,3
2020-08-10,The Titan,2018,https://boxd.it/h7K4,0.5
2020-08-12,Spirited Away,2001,https://boxd.it/2b4m,4
2020-08-12,Inside Out,2015,https://boxd.it/4KHC,3
2020-08-13,Life As We Know It,2010,https://boxd.it/162S,3.5
2020-08-14,Baby Driver,2017,https://boxd.it/bhF2,4.5
2020-08-15,Color Out of Space,2019,https://boxd.it/k1HY,2
2020-08-15,Rafiki,2018,https://boxd.it/iMFc,3
2020-08-16,Axe: Music of a People,2017,https://boxd.it/eQVg,4
2020-08-20,City Lights,1931,https://boxd.it/29ki,4.5
2020-08-21,The Sixth Sense,1999,https://boxd.it/29Js,4.5
2020-08-25,Brooklyn,2015,https://boxd.it/5bdk,4
2020-08-29,Speed 2: Cruise Control,1997,https://boxd.it/28qa,2.5
2020-09-01,Ocean's Eight,2018,https://boxd.it/eaai,3
2020-09-02,Allegiant,2016,https://boxd.it/7NNE,2
2020-09-06,GoldenEye,1995,https://boxd.it/29KU,3
2020-09-06,Tomorrow Never Dies,1997,https://boxd.it/29Kg,3
2020-09-10,Before Sunrise,1995,https://boxd.it/2bcU,4
2020-09-15,Coach Carter,2005,https://boxd.it/218e,4
2020-09-15,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2020-09-22,The Devil All the Time,2020,https://boxd.it/i2tY,3.5
2020-09-22,Tomb Raider,2018,https://boxd.it/bgbA,3
2020-09-22,The Apartment,1960,https://boxd.it/2aGE,4.5
2020-09-24,Imagine That,2009,https://boxd.it/1ECU,3
2020-09-24,Submergence,2017,https://boxd.it/d2ja,2.5
2020-10-12,Spider-Man,2002,https://boxd.it/2a8i,4
2020-10-13,Wonder,2017,https://boxd.it/ekeY,4
2020-10-14,Calendar Girls,2003,https://boxd.it/1ZVS,3.5
2020-10-15,Hope Floats,1998,https://boxd.it/1XYU,3
2020-10-18,War Dogs,2016,https://boxd.it/9SlO,3.5
2020-10-22,American Beauty,1999,https://boxd.it/71Y,4.5
2020-10-24,All About My Mother,1999,https://boxd.it/2b9c,5
2020-10-24,Greta,2018,https://boxd.it/gU4E,3.5
