Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-01-02,The Lost Daughter,2021,https://boxd.it/2qt3rR,3.5,,"Deve funcionar muito melhor como livro.
Tem imagens impactantes, uns 3 ou 4 avisos metafóricos de que as coisas vão degringolar - a simbologia das frutas podres, a cigarra no travesseiro, a pinha (que literalmente apodrece as costas dela)... - mas nada ocorre de maneira tangível. Há uma personagem principal interessante, um embate com uma família italiana que esconde algo de podre, uma cidade grega praiana, o barzinho embaixo do apartamento beira mar, um assistente da praia novinho gato, um “caseiro” charmoso... E tudo isso leva a um drama com uma boneca (mais um elemento metafórico), ou melhor dizendo: com “o diabo da boneca”, que arrasta a gente para flashes intermináveis do passado (não) maternal da personagem. Em sua segunda metade, o filme “se esconde” no passado, dando a impressão de se afastar do que já tinha mostrado e construído até então, perdendo o espectador. Em um momento só queria que a história continuasse no presente para saber mais como a personagem iria reagir e interagir no ambiente e com as pessoas, enquanto vivenciava essa carga emocional de questões pelo visto não tão bem resolvidas do passado. O filme te deixa com essa curiosidade, as personagens são cativantes, mas minha impressão é que a história não acompanha e não preenche esse desejo. Olivia Colman é sempre ótima, adoro ela, mas, nessa obra, creio que o destaque vai para o magnetismo de Dakota Johnson - um ar de mistério, segredo, de que algo de errado não está certo - e o charme de Ed Harris. Criei empatia por ele no começo, esperava algo mais dali. No geral, é um filme bem feito, imagens bonitas, boas atrizes e atores, mas falar alguma coisa. 


Ps: Para mim, é certeza de que na última cena ela estava morta e tinha ido ao “céu” ou estava inconsciente experimentando uma espécie de paraíso pessoal.",,2022-01-01
2022-01-03,The Truman Show,1998,https://boxd.it/2qQApb,4.5,,"A cena final é de uma graça tão grande, nesse caso de graciosidade e leveza, que não imagino outra pessoa fazendo-a se não Jim Carrey.
.
.
Chega a ser irônico como atualmente não precisamos nem mais de um <i>Grande Irmão</i>, nós mesmos registramos e compartilhamos de bom grado nossa vida 24h por dia, criando momentos instagramáveis para <i>feeds</i> irreais. Se no filme ao menos Truman era um “<i>true man</i>” (trocadilho e sacada fantástica que vi em algum comentário por aqui) dentro de um cenário controlado, no dia a dia real temos pessoas fingindo comportamentos, caras e bocas, <i>fake man. </i>(ps: ficou breguíssimo o final, um dia com mais inspiração e menos sono tento concluir o pensamento melhor)",,2022-01-02
2022-01-03,The Maltese Falcon,1941,https://boxd.it/2qQBUf,3.5,,"Sinceramente, não entendi como Spade foi se envolver ou se encaixou tão bem (visto que caiu de paraquedas na situação) no caso da caça ao tesouro do falcão maltês.",,2022-01-02
2022-01-03,I'm So Excited!,2013,https://boxd.it/2qSUjL,3.5,,"Besta, A D O R E I 
Melhor cena musical",,2022-01-02
2022-01-05,The French Dispatch,2021,https://boxd.it/2rlCp5,4.5,,"Completamente encantada com o visual do filme, a troca entre p&b e cores, e, é claro, a simetria.
Um jeito muito divertido e peculiar de se contar uma história, uma só não, no caso pequenas doses de histórias costuradas entre si por uma linha tênue.

Talvez tenha faltado uma história mais forte para prender e amarrar tudo junto, mas quem liga, é lindo.
Só poderia ser uma obra de Wes Anderson, e o amo por isso 💙
O mininu Timote Xalamalê tá ótimo, ultimamente andava tendo uma forte opinião negativa sobre ele, inclusive, nesse filme, minha história favorita foi a sua crônica na Paris estudantil revolucionária com a maravilhosa Frances McDormand. Varias caras conhecidas que adorei ver: Willem Dafoe (💚), Tilda e Bill Murray (o casal americano de comercial de margarina mais problemáticos dos EUA), o bandido e o americano parceiro de 007, o pessoal de Hotel Budapeste, Christopher Waltz, Léa, Edward Norton... tanto nome bom, que luxo ter esse nível de atuação em todos os papéis, sejam eles grandes ou pequenos.",,2022-01-04
2022-01-09,The Karate Kid,1984,https://boxd.it/2sfle7,4,,"Os diálogos são muito bons, os moleques até uma marijuana enrolam no banheiro da escola.
Só achei que o embate final teve pouco destaque.",,2022-01-07
2022-01-09,The Incredibles,2004,https://boxd.it/2sfm0P,5,Yes,"Tachinhas 📌 📌 
Culpado, culpado!",,2022-01-08
2022-01-10,Live Flesh,1997,https://boxd.it/2sERxF,4,,Javier Bardem novinho era um pedaço de mal caminho,,2022-01-09
2022-01-11,Jules and Jim,1962,https://boxd.it/2sMdC7,3.5,,"Gostei do recurso do narrador.
Coitado de Jules",,2022-01-10
2022-01-11,The Killing of a Sacred Deer,2017,https://boxd.it/2sUqlp,,,"<i>“Do you understand? It is metaphorical.”</i>

No, Yorgos, I did not and do not understand.
Maybe there is nothing to be understood.
Maybe I’m lacking a little of culture, and
Maybe the Iphigenia’s myth is a key.",,2022-01-10
